url,product_name,sales_price,product_sku,brand,total_number_of_reviews,star_rating,review_title,review_text
https://noragardner.com/collections/dresses/products/alyssa-dress-navy,Alyssa Dress V Back - Navy,348,101870028283,Nora Gardner,2,5.0,,"Love the fit, comfort, and professional style. Wore it today for work, it was perfect. Pockets are important, these are good. Could be slightly deeper for a cell phone. 
I’ll get this style again.  
Love this dress."
https://noragardner.com/collections/dresses/products/alyssa-dress-navy,Alyssa Dress V Back - Navy,348,101870028283,Nora Gardner,2,5.0,Alyssa navy dress,This is a fabulous dress. The color and cut are really really beautiful.
https://noragardner.com/collections/dresses/products/donna-dress-teal,Donna Dress - Teal,270,13594974,Diva Catwalk,3,4.67,,Fits beautifully and color is perfect.  Very well made.  Would recommend this dress
https://noragardner.com/collections/dresses/products/donna-dress-teal,Donna Dress - Teal,270,13594974,Diva Catwalk,3,4.67,Didn’t fit right at the,Didn’t fit right at the top
https://noragardner.com/collections/dresses/products/donna-dress-teal,Donna Dress - Teal,270,13594974,Diva Catwalk,3,4.67,I love the fit of,I love the fit of this dress~ perfect length! I bought a medium because I read they ran small & the fit was perfect! The color is beautiful too!
https://noragardner.com/collections/dresses/products/sleeved-evelyn-dress-electric-blue,Sleeved Evelyn Dress - Electric Blue,368,67035486,Nora Gardner,1,5.0,,it is a great dress
https://noragardner.com/collections/dresses/products/sleeved-evelyn-dress-electric-blue,Sleeved Evelyn Dress - Electric Blue,368,67035486,Nora Gardner,1,5.0,,
https://noragardner.com/collections/dresses/products/plaza-dress-scarlet-red,Plaza Dress - Scarlet Red,298,97514590,Diva Catwalk,3,4.33,Absolutely stunning!,Wow stunning dress!
https://noragardner.com/collections/dresses/products/plaza-dress-scarlet-red,Plaza Dress - Scarlet Red,298,97514590,Diva Catwalk,3,4.33,smaller size than expected.,smaller size than expected.
https://noragardner.com/collections/dresses/products/plaza-dress-scarlet-red,Plaza Dress - Scarlet Red,298,97514590,Diva Catwalk,3,4.33,Stunning,This is the perfect dress! So flattering and stunningly beautiful.
https://noragardner.com/collections/dresses/products/sarah-dress-navy,Sarah Dress - Navy,348,90814302,Nora Gardner,1,5.0,,"The perfect chic work dress - flattering, professional, comfortable. If you’re a fan of Nora’s Sleeved Evelyn dress, this is a must ❤️"
https://noragardner.com/collections/dresses/products/sleeved-evelyn-dress-black,Sleeved Evelyn Dress - Black,368,101870011117,Nora Gardner,3,5.0,Amazing Stylish Dress!,"I bought this dress to wear for an upcoming speaking engagement. When I arrived at the event, a law firm partner with whom I was co-presenting was wearing the exact same Evelyn dress in black! We both styled the dress very differently, it looked great on both of us, and nobody realized we were wearing the same dress! We also received tremendous compliments about how stylish we looked during our dinner engagement. I highly recommend this dress!"
https://noragardner.com/collections/dresses/products/sleeved-evelyn-dress-black,Sleeved Evelyn Dress - Black,368,101870011117,Nora Gardner,3,5.0,Perfect for the Mayor meeting,"Very professional, perfect for meeting with the Mayor’s office. Received many compliments."
https://noragardner.com/collections/dresses/products/sleeved-evelyn-dress-black,Sleeved Evelyn Dress - Black,368,101870011117,Nora Gardner,3,5.0,Amazing Dress!,"The Evelyn dress is stylish, professional and comfortable! After wearing this dress at the office all day, I had to catch a flight without time to change-- this dress provided comfort, and at the end of the flight it was still without a single wrinkle."
